SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Qv5,Batuan Gunungapi Kuarter Atas,Upper Quarternary Volcanics,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qvat,Tuff Argopuro,Argopuro Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qvaw,Batuan Gunungapi Arjuna-Welirang,Arjuna-Welirang Volcanics,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qvb5,Batuan Gunungapi Bromo,Bromo Volcanic,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qvj,Endapan Gunungapi Jembangan,Volcanic deposits of Jembangan,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,
Qvk4,Gunungapi Muda Kelud,Young Kelud volcanic,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvk5,Endapan Gunungapi Kepolo,Volcanic Deposits of Kepolo,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qvl3,Batuan Gunungapi Lamongan,Lamongan Volcanic Rock,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvlh,Endapan Lahar,Laharic Deposits,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qvp,Batuan gunungapi Pandak,Pandak Volcanic rock,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvs,Pasir gunungapi Tengger,Tengger Volcanic Sands,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qvs2,Endapan Gunungapi Semeru,Volcanic deposits od Semeru,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qvs3,Batuan gunungapi Gumuk,Volcanic Remnants,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvs4,Lahar Raung Tua,Lahar of Old Raung,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvt2,Batuan Gunungapi Tengger,Tengger Volcanic Rocks,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qvtm1,Tuf Malang,Malang Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qvtr,Tuff Rabano,Rabano tuff,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Rawa,,,,,,
Tmi,Batuan Terobosan,Intrusive Rocks,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmi3,"Andesit, Granodiorit","Andesite, Granodiorite",Intrusive: felsic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmid,Batuan Terobosan,Intrusive Rock,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmj2,Formasi Jukong-Jukong,Jukong-jukong Formation,Sediment: clastic: medium: limestone,Sedimentation: neritic,Sedimentation: neritic,
Tml4,Anggota Batugamping,Merubetiri Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tml5,,,,,,
Tmm,Formasi Mandiku,Mandiku Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tmp4,Formasi Puger,Puger Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tmpb3,Formasi Brakas,Brakas Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmpm,Formasi Menuran,Menuran Formation,,,,
